Configuracion,Modelo,Num_Features,Estrategia_CV,ROC_AUC,PR_AUC,Recall,Precision,F1_Score,F2_Score,Brier_Score,Diagnostico
Naïve (Con Fuga),XGBoost,10,StratifiedKFold (Filas),1.0,1.0,1.0,0.9984,0.9992,0.9997,0.0003,Artificial / Fuga Circular
Naïve (Con Fuga),LightGBM,10,StratifiedKFold (Filas),1.0,1.0,0.9961,0.9961,0.9961,0.9961,0.0009,Artificial / Fuga Circular
Naïve (Con Fuga),CatBoost,10,StratifiedKFold (Filas),1.0,1.0,1.0,0.9977,0.9988,0.9995,0.0004,Artificial / Fuga Circular
Naïve (Con Fuga),RandomForest,10,StratifiedKFold (Filas),1.0,1.0,0.9992,0.9992,0.9992,0.9992,0.0002,Artificial / Fuga Circular
Naïve (Con Fuga),StackingEnsemble,10,StratifiedKFold (Filas),1.0,1.0,1.0,0.9984,0.9992,0.9997,0.0003,Artificial / Fuga Circular
Saneado Dinámico (En Tránsito),XGBoost,7,GroupKFold (route_id),0.9985,0.9925,0.9906,0.8757,0.9296,0.9653,0.0174,Producción Streaming / Telemetría
Saneado Dinámico (En Tránsito),LightGBM,7,GroupKFold (route_id),0.9988,0.9938,0.9945,0.8743,0.9306,0.9679,0.0167,Producción Streaming / Telemetría
Saneado Dinámico (En Tránsito),CatBoost,7,GroupKFold (route_id),0.9982,0.9911,0.9914,0.8256,0.901,0.9531,0.0248,Producción Streaming / Telemetría
Saneado Dinámico (En Tránsito),RandomForest,7,GroupKFold (route_id),0.9966,0.9831,0.9617,0.87,0.9135,0.9419,0.0251,Producción Streaming / Telemetría
Saneado Dinámico (En Tránsito),StackingEnsemble,7,GroupKFold (route_id),0.9986,0.9929,0.9922,0.8687,0.9263,0.9648,0.0193,Producción Streaming / Telemetría
Saneado Pre-Despacho (Estático),XGBoost,3,GroupKFold (route_id),0.8833,0.6624,0.8414,0.3799,0.5235,0.6769,0.1542,Producción Pre-Salida (SLA Ex-Ante)
Saneado Pre-Despacho (Estático),LightGBM,3,GroupKFold (route_id),0.8815,0.6646,0.8289,0.3817,0.5227,0.6715,0.152,Producción Pre-Salida (SLA Ex-Ante)
Saneado Pre-Despacho (Estático),CatBoost,3,GroupKFold (route_id),0.8835,0.668,0.7969,0.4435,0.5698,0.6873,0.1356,Producción Pre-Salida (SLA Ex-Ante)
Saneado Pre-Despacho (Estático),RandomForest,3,GroupKFold (route_id),0.8765,0.643,0.7766,0.4396,0.5614,0.6734,0.1324,Producción Pre-Salida (SLA Ex-Ante)
Saneado Pre-Despacho (Estático),StackingEnsemble,3,GroupKFold (route_id),0.8842,0.6686,0.8125,0.418,0.552,0.6835,0.1414,Producción Pre-Salida (SLA Ex-Ante)
