shipment_id,route_id,station_code,stop_code,date,departure_time_utc,lat,lng,zone_id,speed_kmh,distance_remaining_km,scheduled_eta_minutes,traffic_density,weather_condition,cargo_temp_celsius,estimated_real_min,weather_severity_num,traffic_density_num,eta_urgency_ratio,expected_delay_min,environmental_risk_index,delay_status
AMZ-DLA7-2ae0e8-ZG,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZG,2018-08-12,15:37:06,33.965477,-117.653303,,44.08,50.21,15,MODERATE,CLEAR,4.77,68.34,0.0,0.4,4.5563,53.34,0.24,1
AMZ-DLA7-2ae0e8-ZD,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZD,2018-08-12,15:37:06,33.956784,-117.593801,A-31.3J,33.1,44.64,22,MODERATE,CLEAR,4.25,80.92,0.0,0.4,3.6781,58.92,0.24,1
AMZ-DLA7-2ae0e8-GV,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,GV,2018-08-12,15:37:06,33.956777,-117.595362,A-31.3J,66.83,44.44,22,LOW,CLEAR,3.03,39.9,0.0,0.1,1.8136,17.9,0.06,1
AMZ-DLA7-2ae0e8-JM,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,JM,2018-08-12,15:37:06,33.956804,-117.597026,A-31.3J,49.86,44.24,23,MODERATE,CLEAR,3.46,53.24,0.0,0.4,2.3147,30.24,0.24,1
AMZ-DLA7-2ae0e8-ZP,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZP,2018-08-12,15:37:06,33.955911,-117.594646,A-31.3J,62.4,43.99,23,LOW,CLEAR,5.14,42.3,0.0,0.1,1.839,19.3,0.06,1
AMZ-DLA7-2ae0e8-KE,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,KE,2018-08-12,15:37:06,33.95457,-117.593869,A-31.2J,43.23,43.79,24,MODERATE,CLEAR,3.16,60.78,0.0,0.4,2.5324,36.78,0.24,1
AMZ-DLA7-2ae0e8-JH,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,JH,2018-08-12,15:37:06,33.95418,-117.594524,A-31.2J,66.65,43.59,24,LOW,CLEAR,4.36,39.24,0.0,0.1,1.635,15.24,0.06,1
AMZ-DLA7-2ae0e8-VZ,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,VZ,2018-08-12,15:37:06,33.954095,-117.59539,A-31.2J,15.77,43.39,24,HIGH,CLEAR,5.3,165.09,0.0,0.7,6.8786,141.09,0.42,1
AMZ-DLA7-2ae0e8-VJ,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,VJ,2018-08-12,15:37:06,33.95317,-117.597146,A-31.2J,56.77,43.19,25,LOW,CLEAR,5.59,45.65,0.0,0.1,1.8259,20.65,0.06,1
AMZ-DLA7-2ae0e8-MV,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,MV,2018-08-12,15:37:06,33.954039,-117.596997,A-31.2J,67.3,42.99,25,LOW,CLEAR,2.21,38.33,0.0,0.1,1.5331,13.33,0.06,1
AMZ-DLA7-2ae0e8-GL,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,GL,2018-08-12,15:37:06,33.952315,-117.597289,A-31.2J,20.96,42.79,26,SEVERE_CONGESTION,CLEAR,4.73,122.49,0.0,1.0,4.7112,96.49,0.6,1
AMZ-DLA7-2ae0e8-QP,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,QP,2018-08-12,15:37:06,33.952089,-117.596631,A-31.2J,18.42,42.59,26,HIGH,CLEAR,4.12,138.73,0.0,0.7,5.3358,112.73,0.42,1
AMZ-DLA7-2ae0e8-ZN,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZN,2018-08-12,15:37:06,33.951197,-117.596841,A-31.2J,40.44,42.39,27,MODERATE,CLEAR,2.64,62.89,0.0,0.4,2.3294,35.89,0.24,1
AMZ-DLA7-2ae0e8-JD,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,JD,2018-08-12,15:37:06,33.953061,-117.594399,A-31.1J,10.56,42.09,27,SEVERE_CONGESTION,CLEAR,4.64,239.15,0.0,1.0,8.8573,212.15,0.6,1
AMZ-DLA7-2ae0e8-SN,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,SN,2018-08-12,15:37:06,33.952059,-117.595065,A-31.1J,44.68,41.89,28,MODERATE,CLEAR,6.95,56.25,0.0,0.4,2.009,28.25,0.24,1
AMZ-DLA7-2ae0e8-BT,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,BT,2018-08-12,15:37:06,33.950015,-117.596623,A-31.1J,11.19,41.62,28,SEVERE_CONGESTION,CLEAR,3.37,223.16,0.0,1.0,7.9701,195.16,0.6,1
AMZ-DLA7-2ae0e8-RV,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,RV,2018-08-12,15:37:06,33.950175,-117.595915,A-31.1J,47.66,41.42,29,LOW,CLEAR,3.57,52.14,0.0,0.1,1.7981,23.14,0.06,1
AMZ-DLA7-2ae0e8-ZK,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZK,2018-08-12,15:37:06,33.949031,-117.594726,A-32.1J,17.03,41.22,29,HIGH,CLEAR,2.66,145.23,0.0,0.7,5.0078,116.23,0.42,1
AMZ-DLA7-2ae0e8-AN,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,AN,2018-08-12,15:37:06,33.948506,-117.596569,A-32.1J,20.85,41.02,30,HIGH,CLEAR,5.28,118.04,0.0,0.7,3.9348,88.04,0.42,1
AMZ-DLA7-2ae0e8-SY,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,SY,2018-08-12,15:37:06,33.948952,-117.597558,A-32.1J,40.33,40.82,30,MODERATE,CLEAR,3.36,60.73,0.0,0.4,2.0243,30.73,0.24,1
AMZ-DLA7-2ae0e8-JY,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,JY,2018-08-12,15:37:06,33.948529,-117.597599,A-32.1J,17.6,40.62,31,HIGH,CLEAR,5.19,138.48,0.0,0.7,4.467,107.48,0.42,1
AMZ-DLA7-2ae0e8-GQ,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,GQ,2018-08-12,15:37:06,33.948501,-117.59916,A-32.1J,25.07,40.42,31,HIGH,CLEAR,4.27,96.74,0.0,0.7,3.1206,65.74,0.42,1
AMZ-DLA7-2ae0e8-EK,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,EK,2018-08-12,15:37:06,33.949298,-117.599487,A-32.1J,10.0,40.22,31,SEVERE_CONGESTION,CLEAR,4.32,241.32,0.0,1.0,7.7845,210.32,0.6,1
AMZ-DLA7-2ae0e8-NR,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,NR,2018-08-12,15:37:06,33.949842,-117.598834,A-32.1J,57.35,40.02,32,LOW,CLEAR,4.3,41.87,0.0,0.1,1.3084,9.87,0.06,1
AMZ-DLA7-2ae0e8-ZF,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZF,2018-08-12,15:37:06,33.949193,-117.599481,A-32.1J,43.82,39.82,32,MODERATE,CLEAR,4.64,54.52,0.0,0.4,1.7038,22.52,0.24,1
AMZ-DLA7-2ae0e8-ZJ,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,ZJ,2018-08-12,15:37:06,33.944955,-117.59965,A-32.2J,37.58,39.35,33,MODERATE,CLEAR,5.44,62.83,0.0,0.4,1.9038,29.83,0.24,1
AMZ-DLA7-2ae0e8-YI,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,YI,2018-08-12,15:37:06,33.94496,-117.599202,A-32.2J,64.1,39.15,34,LOW,CLEAR,5.19,36.65,0.0,0.1,1.0778,2.65,0.06,1
AMZ-DLA7-2ae0e8-NM,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,NM,2018-08-12,15:37:06,33.944951,-117.599846,A-32.2J,21.32,38.95,34,HIGH,CLEAR,5.05,109.62,0.0,0.7,3.224,75.62,0.42,1
AMZ-DLA7-2ae0e8-MP,RouteID_91283a27-5abd-449d-bc36-50f5492ae0e8,DLA7,MP,2018-08-12,15:37:06,33.944948,-117.600425,A-32.2J,10.0,38.75,35,SEVERE_CONGESTION,CLEAR,4.43,232.5,0.0,1.0,6.6429,197.5,0.6,1
